Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15467,Dino Dini's Kick Off Revival,PS4,Sports,Avanquest,0,0.02,0,0,0.02
15469,Mighty No. 9,WiiU,Platform,Deep Silver,0.01,0.01,0,0,0.02
15473,Agatha Christie: The ABC Murders,PC,Adventure,Microids,0,0.02,0,0,0.02
15478,Black Rose Valkyrie,PS4,Role-Playing,Idea Factory,0,0,0.02,0,0.02
15484,Agatha Christie's The ABC Murders,PS4,Adventure,Microids,0.01,0.01,0,0,0.02
15499,Rose to Tasogare no Kojou,PSV,Action,Nippon Ichi Software,0,0,0.02,0,0.02
15510,Sengoku Basara: Sanada Yukimura-Den,PS3,Action,Capcom,0,0,0.02,0,0.02
15511,Hakuoki: Shinkai - Hana no Shou,PSV,Adventure,Idea Factory,0,0,0.02,0,0.02
15569,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15601,Call of Duty: Modern Warfare Trilogy,PS3,Shooter,Activision,0,0.01,0,0,0.02
15616,Toukiden 2,PS3,Action,Tecmo Koei,0,0,0.02,0,0.02
15661,Song of the Deep,PC,Action,Insomniac Games,0.02,0,0,0,0.02
15687,Winning Post 8 2016,PS4,Simulation,Tecmo Koei,0,0,0.02,0,0.02
15717,This War of Mine,PS4,Action,Deep Silver,0,0.01,0,0,0.02
15719,Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,Adventure,Idea Factory,0,0,0.02,0,0.02
15723,Arslan: The Warriors of Legend,XOne,Action,Tecmo Koei,0.01,0,0,0,0.02
15729,Revolution: 25th Anniversary Collection,PC,Adventure,Koch Media,0,0.02,0,0,0.02
15791,"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,Adventure,N/A,0,0,0.02,0,0.02
15804,XCOM 2,XOne,Strategy,Take-Two Interactive,0.01,0.01,0,0,0.02
15807,Call of Duty: Modern Warfare Trilogy,X360,Shooter,Activision,0.01,0.01,0,0,0.02
15855,Assault Suit Leynos,PS4,Shooter,Rising Star Games,0.01,0,0,0,0.02
15865,Taishou Moebius Line Vitable,PSV,Adventure,dramatic create,0,0,0.02,0,0.02
15888,MuvLuv Double Pack,PSV,Adventure,5pb,0,0,0.02,0,0.02
15889,Koihime Enbu,PS4,Fighting,Yeti,0,0,0.02,0,0.02
15943,Worms: WMD,PS4,Action,Sold Out,0.01,0.01,0,0,0.02
15947,Storm Lover 2nd V,PSV,Adventure,D3Publisher,0,0,0.02,0,0.02
15949,Touhou Genso Rondo: Bullet Ballet,PS4,Shooter,Nippon Ichi Software,0.01,0,0,0,0.02
15984,Coven and Labyrinth of Refrain,PSV,Action,Nippon Ichi Software,0,0,0.01,0,0.01
15985,Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,Action,Namco Bandai Games,0,0,0.01,0,0.01
16001,One Piece: Daikaizoku Coliseum,3DS,Fighting,Namco Bandai Games,0,0,0.01,0,0.01
16022,God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,Action,Namco Bandai Games,0,0,0.01,0,0.01
16023,Uppers,PSV,Action,Marvelous Entertainment,0,0,0.01,0,0.01
16031,Wand of Fortune R,PSV,Adventure,Idea Factory,0,0,0.01,0,0.01
16039,Utawarerumono: Futari no Hakuoro,PS3,Misc,Aqua Plus,0,0,0.01,0,0.01
16051,God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,Misc,Namco Bandai Games,0,0,0.01,0,0.01
16054,Battle Worlds: Kronos,PC,Strategy,Nordic Games,0,0.01,0,0,0.01
16098,Resident Evil 5 HD,PS4,Action,Capcom,0.01,0,0,0,0.01
16136,Collar x Malice,PSV,Action,Idea Factory,0,0,0.01,0,0.01
16139,Dragon's Dogma Online: Season 2,PS4,Action,Capcom,0,0,0.01,0,0.01
16178,Republique,PS4,Action,Nippon Ichi Software,0,0.01,0.01,0,0.01
16206,Shin Hayarigami 2,PSV,Adventure,Nippon Ichi Software,0,0,0.01,0,0.01
16223,Dynasty Warriors: Eiketsuden,PS4,Action,Tecmo Koei,0,0,0.01,0,0.01
16225,Carmageddon: Max Damage,XOne,Action,Stainless Games,0.01,0.01,0,0,0.01
16227,New Interpretation Stranger of Sword City,PSV,Role-Playing,Experience Inc.,0,0,0.01,0,0.01
16238,Shitsuji ga Aruji o Erabu Toki,PSV,Adventure,Unknown,0,0,0.01,0,0.01
16239,Batman: A Telltale Game Series,PS3,Adventure,Telltale Games,0,0.01,0,0,0.01
16247,Valentino Rossi: The Game,PC,Racing,Namco Bandai Games,0,0.01,0,0,0.01
16255,The Book of Unwritten Tales 2,WiiU,Adventure,Nordic Games,0,0.01,0,0,0.01
16263,Paragon,PS4,Action,Epic Games,0.01,0,0,0,0.01
16279,Assetto Corsa,XOne,Racing,505 Games,0,0.01,0,0,0.01
16293,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PSV,Adventure,Prototype,0,0,0.01,0,0.01
16322,Period Cube: Torikago no Amadeus,PSV,Action,Idea Factory,0,0,0.01,0,0.01
16326,MXGP 2,PC,Racing,Milestone S.r.l.,0,0.01,0,0,0.01
16347,Cities: Skylines Snowfall,PC,Simulation,Paradox Development,0,0.01,0,0,0.01
16370,Dance with Devils,PSV,Action,N/A,0,0,0.01,0,0.01
16389,TrackMania Turbo,PC,Action,Ubisoft,0,0.01,0,0,0.01
16402,The Technomancer,PC,Role-Playing,Focus Home Interactive,0,0.01,0,0,0.01
16432,Goat Simulator,XOne,Simulation,Koch Media,0,0.01,0,0,0.01
16434,Kamigami no Asobi InFinite,PSV,Adventure,Broccoli,0,0,0.01,0,0.01
16451,Assassin's Creed Chronicles,XOne,Action,Ubisoft,0,0.01,0,0,0.01
16475,Azure Striker Gunvolt: Striker Pack,3DS,Action,Inti Creates,0,0,0.01,0,0.01
16477,Total War Attila: Tyrants & Kings,PC,Strategy,Koch Media,0,0.01,0,0,0.01
16533,Sébastien Loeb Rally Evo,XOne,Racing,Milestone S.r.l,0,0.01,0,0,0.01
16534,Hitman (2016),XOne,Action,Square Enix,0,0.01,0,0,0.01
16553,God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,Action,Namco Bandai Games,0,0,0.01,0,0.01
16558,Codename: Panzers Complete Collection,PC,Strategy,Nordic Games,0,0.01,0,0,0.01
16565,Mighty No. 9,XOne,Platform,Deep Silver,0.01,0,0,0,0.01
16572,Resident Evil 4 HD,XOne,Shooter,Capcom,0.01,0,0,0,0.01
16573,Farming 2017 - The Simulation,PS4,Simulation,UIG Entertainment,0,0.01,0,0,0.01
16579,Rugby Challenge 3,XOne,Sports,Alternative Software,0,0.01,0,0,0.01
16592,Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,Action,dramatic create,0,0,0.01,0,0.01
