Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5931,Dragon Quest Builders: Revive Alefgard,PSV,Role-Playing,Square Enix,0,0,0.3,0,0.3
6089,World of Warcraft: Legion,PC,Role-Playing,Activision,0.14,0.12,0,0.02,0.29
6126,One Piece: Burning Blood,PS4,Fighting,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28
6138,Pro Evolution Soccer 2017,PS4,Sports,Konami Digital Entertainment,0.01,0.16,0.09,0.03,0.28
6159,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,Fighting,Namco Bandai Games,0.19,0.06,0,0.03,0.28
6205,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,Action,Square Enix,0,0,0.28,0,0.28
6207,UEFA Euro 2016,PS4,Sports,Konami Digital Entertainment,0,0.21,0.03,0.03,0.28
6382,F1 2016 (Codemasters),PS4,Racing,Codemasters,0.01,0.21,0.01,0.04,0.27
6392,Ace Attorney 6,3DS,Adventure,Capcom,0,0,0.27,0,0.27
6590,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,Action,Nintendo,0.03,0.11,0.1,0.01,0.26
6912,Lego Star Wars: The Force Awakens,XOne,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0,0.02,0.24
6957,LEGO Marvel's Avengers,WiiU,Action,Warner Bros. Interactive Entertainment,0.12,0.09,0,0.02,0.23
6974,LEGO Marvel's Avengers,PSV,Action,Warner Bros. Interactive Entertainment,0.07,0.11,0,0.05,0.23
7062,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,Action,Square Enix,0,0,0.23,0,0.23
7074,Rocket League,PS4,Sports,505 Games,0.02,0.14,0,0.07,0.23
7182,Battleborn,PS4,Shooter,Take-Two Interactive,0.09,0.08,0.01,0.04,0.22
7222,Dragon Quest Builders: Revive Alefgard,PS4,Role-Playing,Square Enix,0,0,0.22,0,0.22
7248,Tales of Berseria,PS4,Role-Playing,Namco Bandai Games,0,0,0.22,0,0.22
7499,Attack on Titan (KOEI),PS4,Action,Tecmo Koei,0.02,0.06,0.11,0.02,0.2
7566,XCOM 2,PC,Strategy,Take-Two Interactive,0.09,0.1,0,0.02,0.2
7577,NHL 17,PS4,Sports,Electronic Arts,0.13,0.04,0,0.04,0.2
7653,BioShock The Collection,PS4,Shooter,Take-Two Interactive,0.05,0.11,0.01,0.03,0.2
7674,Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,Action,GungHo,0,0,0.2,0,0.2
7723,Mega Man Legacy Collection,3DS,Platform,Capcom,0.13,0,0.05,0.02,0.2
7814,Story of Seasons: Good Friends of the Three Villages,3DS,Simulation,Marvelous Interactive,0,0,0.19,0,0.19
7850,Kan Colle Kai,PSV,Action,Kadokawa Games,0,0,0.19,0,0.19
7894,The Heavy Rain and Beyond: Two Souls Collection,PS4,Action,Sony Computer Entertainment,0,0.16,0,0.03,0.19
8065,LEGO Marvel's Avengers,3DS,Action,Warner Bros. Interactive Entertainment,0.07,0.08,0.01,0.01,0.18
8089,Odin Sphere: Leifthrasir,PS4,Role-Playing,Nippon Ichi Software,0.06,0.03,0.07,0.02,0.18
8140,Doom (2016),PC,Shooter,Bethesda Softworks,0.06,0.1,0,0.01,0.18
8192,FIFA 17,X360,Sports,Electronic Arts,0.03,0.13,0,0.01,0.18
8223,Jikkyou Powerful Pro Baseball 2016,PSV,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17
8295,Shin Megami Tensei IV: Final,3DS,Role-Playing,Deep Silver,0.03,0,0.14,0,0.17
8402,Jikkyou Powerful Pro Baseball 2016,PS4,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17
8411,Valkyria Chronicles,PS4,Role-Playing,Sega,0.06,0.04,0.05,0.02,0.17
8446,Dragon Ball: Fusions,3DS,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
8468,MLB 16: The Show,PS3,Action,Sony Computer Entertainment,0.13,0,0,0.03,0.16
8659,Yakuza Kiwami,PS4,Adventure,Sega,0,0,0.16,0,0.16
8753,NHL 17,XOne,Sports,Electronic Arts,0.13,0.01,0,0.02,0.15
8862,Mirror's Edge Catalyst,XOne,Platform,Electronic Arts,0.08,0.05,0,0.02,0.15
8874,Odin Sphere: Leifthrasir,PSV,Role-Playing,Nippon Ichi Software,0.02,0.03,0.08,0.02,0.15
8949,Deus Ex: Mankind Divided,XOne,Role-Playing,Square Enix,0.08,0.06,0,0.01,0.15
9252,Far Cry: Primal,PC,Action,Ubisoft,0.04,0.09,0,0.01,0.14
9440,Attack on Titan (KOEI),PSV,Action,Tecmo Koei,0,0,0.13,0,0.13
9540,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,Action,Square Enix,0,0,0.13,0,0.13
9648,Battleborn,XOne,Shooter,Take-Two Interactive,0.08,0.04,0,0.01,0.13
9682,Lego Star Wars: The Force Awakens,PS3,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0,0.02,0.12
9702,Homefront: The Revolution,XOne,Shooter,Deep Silver,0.05,0.07,0,0.01,0.12
